kaptCode,kaptName,doroJuso,kaptAddr,경도,위도,비고
A13085902,전농동신성미소지움아파트,서울특별시 동대문구 서울시립대로 75,서울특별시 동대문구 전농동 687 전농동신성미소지움아파트,127.049227693,37.578492745,도로명(1)
A10020731,e편한세상답십리아르테포레아파트,서울특별시 동대문구 전농로4나길 19,서울특별시 동대문구 답십리동 12 e편한세상답십리아르테포레아파트,127.060751795,37.566764836,도로명(1)
A10020851,청계지웰에스테이트,서울특별시 동대문구 사가정로 6,서울특별시 동대문구 답십리동 498-7 청계지웰에스테이트,127.049533738,37.570176953,도로명(1)
A10020888,보광타워,서울특별시 동대문구 황물로 90,서울특별시 동대문구 답십리동 530-4 보광타워,127.050117213,37.570355717,도로명(1)
A10022046,한신휴플러스그린파크 아파트,서울특별시 동대문구 답십리로38길 14,서울특별시 동대문구 답십리동 1001- 한신휴플러스그린파크 아파트,127.049564411,37.573637136,도로명(1)
A10022258,청솔2차우성아파트,서울특별시 동대문구 전농로10길 80,서울특별시 동대문구 답십리동 80-2 청솔2차우성아파트,127.061993839,37.575553896,도로명(1)
A10022377,청계벽산메가트리움,,서울특별시 동대문구 답십리동 999- 청계벽산메가트리움,127.04969294377403,37.56984572747573,지번(2)
A10023891,청계푸르지오시티,서울특별시 동대문구 천호대로 257,서울특별시 동대문구 답십리동 497-23 청계푸르지오시티,127.050445275,37.568963547,도로명(1)
A10025754,답십리파크자이,서울특별시 동대문구 답십리로56길 105,서울특별시 동대문구 답십리동 25 답십리파크자이,127.058401455,37.567770265,도로명(1)
A10026104,힐스테이트청계,서울특별시 동대문구 천호대로55길 11,서울특별시 동대문구 답십리동 465 힐스테이트청계,127.046192166,37.571543197,도로명(1)
A10026232,래미안미드카운티,서울특별시 동대문구 답십리로 141,서울특별시 동대문구 답십리동 98-4 래미안미드카운티,127.055654243,37.575323681,도로명(1)
A10026779,답십리한화아파트,서울특별시 동대문구 고미술로 57,서울특별시 동대문구 답십리동 994 답십리한화아파트,127.054005703,37.566948216,도로명(1)
A10027089,현대썬앤빌청계,서울특별시 동대문구 고미술로 71,서울특별시 동대문구 답십리동 530-15 현대썬앤빌청계,127.055149547,37.566113443,도로명(1)
A10028042,센시티일육,서울특별시 동대문구 전농로 16,서울특별시 동대문구 답십리동 488-18 센시티일육,127.056292885,37.566297324,도로명(1)
A13003002,답십리동서울한양,서울특별시 동대문구 답십리로 184,서울특별시 동대문구 답십리동 41 답십리동서울한양,127.060502317,37.572251773,도로명(1)
A13003003,답십리두산위브,서울특별시 동대문구 황물로15길 25,서울특별시 동대문구 답십리동 998 답십리두산위브,127.057150795,37.566081524,도로명(1)
A13003005,청계한신휴플러스,서울특별시 동대문구 서울시립대로 14,서울특별시 동대문구 답십리동 1002 청계한신휴플러스,127.045842132,37.573006287,도로명(1)
A13003007,래미안위브,서울특별시 동대문구 답십리로 130,서울특별시 동대문구 답십리동 1003 래미안위브,127.052323557,37.57290016,도로명(1)
A13003201,답십리두산,서울특별시 동대문구 답십리로56길 21,서울특별시 동대문구 답십리동 990 답십리두산,127.059953225,37.569515204,도로명(1)
A13003202,답십리청솔우성,서울특별시 동대문구 전농로10길 20,서울특별시 동대문구 답십리동 80 답십리청솔우성,127.060130367,37.574615123,도로명(1)
A13003402,세양청마루,서울특별시 동대문구 답십리로59길 7,서울특별시 동대문구 답십리동 997 세양청마루,127.065497581,37.574018873,도로명(1)
A13003404,답십리우성그린,서울특별시 동대문구 답십리로59길 33,서울특별시 동대문구 답십리동 989-1 답십리우성그린,127.065403126,37.57415751,도로명(1)
A13003405,답십리동답한신,서울특별시 동대문구 답십리로 210-30,서울특별시 동대문구 답십리동 42 답십리동답한신,127.062630028,37.570551543,도로명(1)
A13003406,답십리동아,서울특별시 동대문구 한천로11길 10-1,서울특별시 동대문구 답십리동 10 답십리동아,127.062413233,37.569906146,도로명(1)
A13075402,래미안엘파인,서울특별시 동대문구 한천로37길 33,서울특별시 동대문구 답십리동 1000 래미안엘파인,127.064892903,37.575538734,도로명(1)
A13075403,답십리청솔우성제2,서울특별시 동대문구 답십리로57길 53,서울특별시 동대문구 답십리동 80 답십리청솔우성제2,127.061296614,37.57543337,도로명(1)
