학원지정번호,학원명,도로명주소,경도,위도,비고
16952,JY잉글리시영어교습소,경기도 고양시 일산서구 대산로 125,126.763387621,37.674369254,성공
3000011526,J수능영어교습소,경기도 고양시 일산서구 일산로 536,126.768617206,37.677692156,성공
3000071938,OK사고력수학교습소,경기도 고양시 일산서구 강선로 74,126.765659678,37.670339238,성공
3000014598,SJ수훈수학교습소,경기도 고양시 덕양구 화신로 73,126.838608687,37.61944866,성공
3000018867,SNU수학교습소,경기도 고양시 일산동구 일산로 232,126.788937898,37.657076272,성공
75973,SNU입시바이올린교습소,경기도 고양시 일산동구 일산로 153,126.791957229,37.650332841,성공
3000035400,SS수학교습소,경기도 고양시 일산동구 일산로 207,126.789489519,37.65469726,성공
3000053543,YBM램클래스영어교습소,경기도 고양시 덕양구 토당로 99,126.817299707,37.624055351,성공
37569,YBM잉글루후곡영어교습소,경기도 고양시 일산서구 일산로 570,126.765271735,37.679188918,성공
3000073079,YJ(와이제이)유진영어교습소,경기도 고양시 덕양구 향기로 101,126.892891589,37.599199223,성공
3000027449,e해법셀파수학교실에이메쓰수학교습소,경기도 고양시 덕양구 화신로 101,126.840149545,37.621762763,성공
3000042451,e해법창릉수학교습소,경기도 고양시 덕양구 덕수천2로 150,126.89585869,37.648624606,성공
3000075975,가람피아노음악교습소,경기도 고양시 일산동구 위시티2로 43-27,126.814515931,37.676231789,성공
29898,가온음악교습소,경기도 고양시 일산동구 경의로 329,126.792292827,37.659193013,성공
3000045019,가온해국어교습소,경기도 고양시 덕양구 통일로 345,126.890499557,37.665139631,성공
3000043010,가치수학교습소,경기도 고양시 일산서구 대산로 116,126.764696849,37.674401405,성공
3000048196,강구현아카데미드럼교습소,경기도 고양시 일산동구 강송로 119,126.78610423,37.649554669,성공
3000034235,강마두수학교습소,경기도 고양시 일산동구 산두로229번길 33,126.778259516,37.67463251,성공
43190,강선해법영어교습소,경기도 고양시 일산서구 강선로 67 ,126.764926082,37.67019286,성공
29376,강수학교습소,경기도 고양시 일산서구 일산로 517,126.7699724,37.676409533,성공
3000034830,강촌메이저영어교습소,경기도 고양시 일산동구 일산로 204,126.79036519,37.654642802,성공
3000039190,강촌수학교습소,경기도 고양시 일산동구 강송로 170,126.784277444,37.653909798,성공
3000035700,강한영어교습소,경기도 고양시 일산동구 일산로 235,126.788182685,37.656987609,성공
3000057888,개구리기타교습소,경기도 고양시 일산서구 현중로 29,126.767691363,37.693280259,성공
3000030819,경쌤과학교습소,경기도 고양시 덕양구 화신로 101,126.840149545,37.621762763,성공
3000048163,고대수학교습소,경기도 고양시 일산동구 월드고양로 21,126.749295589,37.662164142,성공
3000020967,고마워피아노음악교습소,경기도 고양시 일산동구 호수로430번길 65-14,126.781486757,37.64577494,성공
3000037879,고양국악교습소,경기도 고양시 일산서구 대산로 145,126.76148115,37.675250049,성공
